factor_name,family,research_intent,formula_symbolic,anchor,window,candidate_day_used,required_columns,price_basis,volume_basis,min_required_sessions,missing_policy,zero_denominator_policy,suspension_policy,corporate_action_policy,pit_safe,unit,higher_means,lower_means,known_collinearity,contract_status,analysis_role,ca_class,notes
impulse_retrace_ratio,F2 HOLD,回调对T0涨幅的回撤比例,(C0-min_pullback_close)/(C0-PRECLOSE0),T0,PULLBACK_ASOF_D (T0<date<=D),yes,close preclose,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when C0-PRECLOSE0<=0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (span {T0} U PB + predecessor) -> NULL,yes,decimal fraction,MORE_RETRACED,LESS_RETRACED,EXACT_COLLINEAR with t0_gain_retention (retention=1-impulse),FROZEN_FOR_R2,DERIVED_ALIAS,CA_UNSAFE_CROSS_SESSION_PRICE,alias of #12; R2 QA output only; multivariate must not include both
t0_gain_retention,F2 HOLD,回调后保留的T0涨幅比例,(min_pullback_close-PRECLOSE0)/(C0-PRECLOSE0),T0,PULLBACK_ASOF_D (T0<date<=D),yes,close preclose,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when C0-PRECLOSE0<=0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (span {T0} U PB + predecessor) -> NULL,yes,decimal fraction,more gain retained,less gain retained,EXACT_COLLINEAR with impulse_retrace_ratio (retention=1-impulse),FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,primary of the #11/#12 pair
low_vs_t0_mid,F2 HOLD,回调最低相对T0实体中点的位置,min_pullback_low/T0_BODY_MID-1,T0,PULLBACK_ASOF_D (T0<date<=D),yes,low open close,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when T0_BODY_MID==0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (span {T0} U PB + predecessor) -> NULL,yes,decimal fraction,low holds above body mid,low breaks below body mid,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,T0_BODY_MID=(O0+C0)/2
days_above_t0_mid,F2 HOLD,回调中收盘维持在T0实体中点之上的天数,count(close>=T0_BODY_MID over PB),T0,PULLBACK_ASOF_D (T0<date<=D),yes,close open,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR not applicable,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges -> NULL,yes,integer (count),more sessions held,less sessions held,NEAR_STRUCTURAL_WITH_TIME_EXPOSURE,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_LEVEL_ORDERING,close-based; count bounded above by days_since_t0/pullback_duration
pullback_volume_ratio,F3 CONTRACTION,回调量能相对T0的中位数水平,median(volume over PB)/V0,T0,PULLBACK_ASOF_D (T0<date<=D),yes,volume,raw,raw,1,EMPTY_PULLBACK_WINDOW/NONPOSITIVE_VOLUME/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when V0==0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges -> NULL (share-scale continuity unproven),yes,decimal fraction (ratio),volume still high,volume contracted,NEAR_STRUCTURAL with min_volume_ratio/volume_slope,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_VOLUME,-
min_volume_ratio,F3 CONTRACTION,回调最小量能相对T0,min(volume over PB)/V0,T0,PULLBACK_ASOF_D (T0<date<=D),yes,volume,raw,raw,1,EMPTY_PULLBACK_WINDOW/NONPOSITIVE_VOLUME/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when V0==0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges -> NULL (share-scale continuity unproven),yes,decimal fraction (ratio),no volume dry-up,volume dried up,NEAR_STRUCTURAL with pullback_volume_ratio/volume_slope,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_VOLUME,-
volume_slope,F3 CONTRACTION,回调量能收缩斜率,OLS slope(log(volume_i/V0) ~ session_index_i),T0,PULLBACK_ASOF_D (T0<date<=D),yes,volume,raw,raw,2,EMPTY_PULLBACK_WINDOW/INSUFFICIENT_PULLBACK_SESSIONS/NONPOSITIVE_VOLUME/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when V0==0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges -> NULL (share-scale continuity unproven),yes,slope per session,volume expanding,volume contracting,NEAR_STRUCTURAL with pullback_volume_ratio/min_volume_ratio,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_VOLUME,identity: slope(log(vol_i/V0)) == slope(log(vol_i)) since log(V0) constant
median_range_ratio,F3 CONTRACTION,回调振幅相对T0的中位数,median(range_i)/t0_range_pct,T0,PULLBACK_ASOF_D (T0<date<=D),yes,high low preclose,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when t0_range_pct<=0,missing session not counted,CA_EVENT or CA_UNKNOWN on required comparison edges (span {T0} U PULLBACK_ASOF_D + predecessor) -> NULL,yes,decimal fraction (ratio),range still wide,range contracted,NEAR_STRUCTURAL with range_slope,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,range_i=(H_i-L_i)/PRECLOSE_i; depends on #3 t0_range_pct and PRECLOSE -> not pure same-session
range_slope,F3 CONTRACTION,回调振幅收缩斜率,OLS slope((range_i/t0_range_pct) ~ session_index_i),T0,PULLBACK_ASOF_D (T0<date<=D),yes,high low preclose,RAW_WITH_CA_EXCLUSION,raw,2,EMPTY_PULLBACK_WINDOW/INSUFFICIENT_PULLBACK_SESSIONS/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when t0_range_pct<=0,missing session not counted,CA_EVENT or CA_UNKNOWN on required comparison edges (span {T0} U PULLBACK_ASOF_D + predecessor) -> NULL,yes,slope per session,range expanding,range contracting,NEAR_STRUCTURAL with median_range_ratio,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,depends on #3 t0_range_pct and PRECLOSE -> not pure same-session
quiet_days_n,F3 CONTRACTION,回调中量价双缩的安静天数,count(volume_i/V0<1 AND range_i/t0_range_pct<1),T0,PULLBACK_ASOF_D (T0<date<=D),yes,volume high low preclose,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when V0==0 or t0_range_pct<=0,missing session not counted; missing != quiet,CA_EVENT or CA_UNKNOWN on comparison edges -> NULL (volume leg),yes,integer (count),more quiet sessions,less quiet sessions,NEAR_STRUCTURAL_WITH_TIME_EXPOSURE,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_VOLUME,fixed structural <1/<1; count bounded above by days_since_t0/pullback_duration
days_since_t0,F5 TIME,T0到候选日的session距离,D session offset (T0=0),T0,full span T0..D,yes,trade_date,raw,raw,1,MISSING_T0_BAR/MISSING_D_BAR,ZERO_DENOMINATOR not applicable,missing session not counted (offset counts existing sessions),n/a (counting only),yes,integer (sessions),longer elapsed,shorter elapsed,NEAR_STRUCTURAL with days_to_pullback_low/pullback_duration,FROZEN_FOR_R2,PRIMARY,CA_SAFE,session counting only
days_to_pullback_low,F5 TIME,回调最低价出现的时间,first session offset of minimum LOW over PB,T0,PULLBACK_ASOF_D (T0<date<=D),yes,low trade_date,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR not applicable,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges -> NULL (raw LOW scale),yes,integer (offset 1-based),low late,pullback low early,NEAR_STRUCTURAL with days_since_t0/pullback_duration,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_LEVEL_ORDERING,first occurrence of min LOW; LOW-based frozen
pullback_duration,F5 TIME,距最近有效价格峰值的session距离,D_offset - PRE_D_PEAK_OFFSET,T0,{T0} U PULLBACK_PRE_D peak reference; D excluded,yes (D_offset used; D NOT in peak reference),high low trade_date,RAW_WITH_CA_EXCLUSION,raw,1,MISSING_T0_BAR/MISSING_D_BAR/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN/OTHER (D<=T0 contract violation),ZERO_DENOMINATOR not applicable,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (peak reference span + predecessor) -> NULL,yes,integer (sessions),longer since last peak,peak more recent,NEAR_STRUCTURAL with days_since_t0/days_to_pullback_low,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_LEVEL_ORDERING,peak_high=max(HIGH over {T0} U PRE_D); ties -> LAST occurrence (PRE_D_PEAK_OFFSET); T0 can be peak; D=T+1 with empty PRE_D -> peak=T0, duration=1 valid; no EMPTY_PULLBACK_WINDOW
high_vs_pullback_high,F6 ACTIVATION,候选日高点相对回调高点的突破强度,H_D/pullback_high_pre_D-1,D,PULLBACK_PRE_D (T0<date<D) reference; D compared,no (D is compared session; reference excludes D),high trade_date,RAW_WITH_CA_EXCLUSION (reference window + D),raw,1,EMPTY_PULLBACK_WINDOW (no pre-D bar)/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when reference<=0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (reference span + predecessor) OR at D itself -> NULL,yes,decimal fraction,breaking above pullback high,below pullback high,NEAR_STRUCTURAL with close_vs_pullback_high,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,"pullback_high_pre_D = max(high, T0<date<D); D-CA event -> NULL (mechanical breakout guard)"
close_vs_pullback_high,F6 ACTIVATION,候选日收盘相对回调高点的位置,C_D/pullback_high_pre_D-1,D,PULLBACK_PRE_D (T0<date<D) reference; D compared,no (D is compared session; reference excludes D),close trade_date,RAW_WITH_CA_EXCLUSION (reference window + D),raw,1,EMPTY_PULLBACK_WINDOW (no pre-D bar)/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when reference<=0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (reference span + predecessor) OR at D itself -> NULL,yes,decimal fraction,close above pullback high,close below pullback high,NEAR_STRUCTURAL with high_vs_pullback_high,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,same reference as #24; D-CA event -> NULL
